"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Feb 05, 2021","
","38,260.0","
","36,975.0","
","38,260.0","
","36,759.0","
",4.48K, ,3.48%,"
"
"
","Feb 04, 2021","
","36,975.0","
","37,677.0","
","37,998.0","
","36,521.0","
",6.42K, ,-1.86%,"
"
"
","Feb 03, 2021","
","37,677.0","
","35,563.0","
","37,677.0","
","35,563.0","
",8.80K, ,5.94%,"
"
"
","Feb 02, 2021","
","35,563.0","
","33,559.0","
","35,960.0","
","33,559.0","
",7.01K, ,5.97%,"
"
"
","Feb 01, 2021","
","33,559.0","
","33,141.0","
","34,460.1","
","32,595.0","
",5.30K, ,1.26%,"
"
"
","Jan 31, 2021","
","33,141.0","
","34,334.0","
","34,334.0","
","32,270.0","
",5.82K, ,-3.47%,"
"
"
","Jan 30, 2021","
","34,334.0","
","34,268.0","
","34,791.0","
","33,136.6","
",7.29K, ,0.16%,"
"
"
","Jan 29, 2021","
","34,280.7","
","33,350.0","
","38,056.0","
","32,466.0","
",28.64K, ,2.85%,"
"
"
","Jan 28, 2021","
","33,331.0","
","30,454.0","
","33,418.0","
","30,344.0","
",9.17K, ,9.45%,"
"
"
","Jan 27, 2021","
","30,454.0","
","32,519.0","
","32,519.0","
","29,815.0","
",14.77K, ,-6.35%,"
"
"
","Jan 26, 2021","
","32,519.0","
","32,268.1","
","32,735.1","
","31,434.0","
",8.54K, ,0.78%,"
"
"
","Jan 25, 2021","
","32,268.1","
","32,298.0","
","34,693.0","
","32,268.1","
",9.23K, ,-0.09%,"
"
"
","Jan 24, 2021","
","32,298.0","
","32,099.0","
","32,830.0","
","31,481.0","
",5.89K, ,0.62%,"
"
"
","Jan 23, 2021","
","32,099.0","
","33,062.0","
","33,062.0","
","31,773.0","
",7.07K, ,-2.91%,"
"
"
","Jan 22, 2021","
","33,062.0","
","30,852.0","
","33,631.0","
","28,991.0","
",15.72K, ,7.09%,"
"
