"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Apr 06, 2021","
",615.50,"
",622.00,"
",627.50,"
",613.75,"
",58.04K, ,-0.40%,"
"
"
","Apr 05, 2021","
",618.00,"
",607.00,"
",625.00,"
",607.00,"
",52.00K, ,1.15%,"
"
"
","Apr 01, 2021","
",611.00,"
",623.00,"
",625.75,"
",601.25,"
",73.41K, ,-1.13%,"
"
"
","Mar 31, 2021","
",618.00,"
",603.25,"
",631.75,"
",593.25,"
",90.27K, ,2.70%,"
"
"
","Mar 30, 2021","
",601.75,"
",616.25,"
",616.75,"
",600.50,"
",52.67K, ,-2.43%,"
"
"
","Mar 29, 2021","
",616.75,"
",615.75,"
",617.75,"
",607.25,"
",38.59K, ,0.57%,"
"
"
","Mar 26, 2021","
",613.25,"
",611.00,"
",619.00,"
",608.25,"
",45.62K, ,0.12%,"
"
"
","Mar 25, 2021","
",612.50,"
",624.75,"
",625.50,"
",609.00,"
",60.63K, ,-1.96%,"
"
"
","Mar 24, 2021","
",624.75,"
",635.00,"
",638.75,"
",624.00,"
",45.58K, ,-1.58%,"
"
"
","Mar 23, 2021","
",634.75,"
",628.00,"
",644.50,"
",621.00,"
",68.77K, ,1.20%,"
"
"
","Mar 22, 2021","
",627.25,"
",627.50,"
",630.75,"
",621.25,"
",36.12K, ,0.04%,"
"
"
","Mar 19, 2021","
",627.00,"
",629.00,"
",635.50,"
",621.75,"
",51.67K, ,-0.56%,"
"
"
","Mar 18, 2021","
",630.50,"
",640.00,"
",641.00,"
",629.00,"
",47.13K, ,-1.48%,"
"
"
","Mar 17, 2021","
",640.00,"
",646.25,"
",649.50,"
",639.25,"
",36.15K, ,-1.08%,"
"
"
","Mar 16, 2021","
",647.00,"
",645.50,"
",648.00,"
",631.75,"
",51.10K, ,0.31%,"
"
"
","Mar 15, 2021","
",645.00,"
",637.75,"
",647.75,"
",636.00,"
",40.09K, ,2.10%,"
"
"
","Mar 12, 2021","
",631.75,"
",642.88,"
",645.60,"
",637.60,"
",0.01K, ,-0.71%,"
"
"
","Mar 11, 2021","
",636.25,"
",650.00,"
",650.00,"
",636.75,"
",0.03K, ,-2.23%,"
"
"
","Mar 10, 2021","
",650.75,"
",653.25,"
",653.75,"
",643.50,"
",0.13K, ,-0.88%,"
"
"
","Mar 09, 2021","
",656.50,"
",654.75,"
",655.00,"
",650.75,"
",0.01K, ,1.55%,"
"
"
","Mar 08, 2021","
",646.50,"
",659.50,"
",659.50,"
",642.50,"
",0.35K, ,-1.15%,"
"
"
","Mar 05, 2021","
",654.00,"
",649.50,"
",657.50,"
",647.00,"
",0.40K, ,0.65%,"
"
"
","Mar 04, 2021","
",649.75,"
",653.00,"
",658.00,"
",648.75,"
",0.58K, ,-0.35%,"
"
"
","Mar 03, 2021","
",652.00,"
",658.25,"
",658.25,"
",645.75,"
",0.18K, ,-1.70%,"
"
"
","Mar 02, 2021","
",663.25,"
",645.50,"
",663.25,"
",640.00,"
",0.24K, ,3.03%,"
"
"
","Mar 01, 2021","
",643.75,"
",661.00,"
",661.00,"
",643.00,"
",0.39K, ,-1.72%,"
"
"
","Feb 26, 2021","
",655.00,"
",665.00,"
",665.75,"
",653.00,"
",1.45K, ,-2.49%,"
"
"
","Feb 25, 2021","
",671.75,"
",677.25,"
",680.50,"
",658.75,"
",13.33K, ,-1.25%,"
"
"
","Feb 24, 2021","
",680.25,"
",665.50,"
",683.50,"
",665.00,"
",23.40K, ,2.18%,"
"
"
","Feb 23, 2021","
",665.75,"
",666.50,"
",667.75,"
",656.50,"
",24.55K, ,0.26%,"
"
"
","Feb 22, 2021","
",664.00,"
",653.75,"
",665.25,"
",651.00,"
",26.46K, ,2.04%,"
"
"
","Feb 19, 2021","
",650.75,"
",665.00,"
",669.00,"
",649.00,"
",51.92K, ,-1.77%,"
"
"
","Feb 18, 2021","
",662.50,"
",644.00,"
",665.75,"
",641.50,"
",56.68K, ,2.87%,"
"
"
","Feb 17, 2021","
",644.00,"
",660.00,"
",661.25,"
",638.50,"
",35.18K, ,-2.05%,"
"
"
","Feb 16, 2021","
",657.50,"
",648.00,"
",660.25,"
",640.50,"
",50.20K, ,3.10%,"
"
"
","Feb 15, 2021","
",637.75,"
",637.50,"
",637.75,"
",637.50,"
",-, ,0.08%,"
"
"
","Feb 14, 2021","
",637.25,"
",637.50,"
",637.50,"
",637.25,"
",-, ,0.08%,"
"
"
","Feb 12, 2021","
",636.75,"
",632.50,"
",643.00,"
",632.00,"
",64.75K, ,0.51%,"
"
"
","Feb 11, 2021","
",633.50,"
",636.50,"
",644.75,"
",632.00,"
",79.70K, ,-0.31%,"
"
